State,Crop,Season,Soil_Type,Soil_Quality_Score,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Ha,Rainfall_mm,Normal_Rainfall_mm,Rainfall_Deviation_Pct,Temperature_C,Fertiliser_Kg_Ha,Irrigation,Insurance_Claim
Karnataka,Pulses,Rabi,Black,4,21.27,48.39,2.275,358.1,935.9,-61.74,21.7,366.9,0,1
Punjab,Groundnut,Rabi,Alluvial,5,6.51,12.76,1.96,1065.6,1038.2,2.64,21.7,99.2,1,0
Madhya Pradesh,Cotton,Kharif,Sandy,1,5.66,16.36,2.89,638.8,881.8,-27.56,23.7,109.2,1,1
Punjab,Soybean,Zaid,Laterite,2,44.87,132.94,2.963,875.7,791.9,10.58,31.7,169.5,1,0
West Bengal,Cotton,Zaid,Red,3,29.48,158.33,5.371,922.1,951.9,-3.13,19.3,222.0,1,0
Punjab,Pulses,Zaid,Laterite,2,46.76,191.33,4.092,661.5,814.0,-18.74,22.1,374.0,1,0
Punjab,Groundnut,Rabi,Laterite,2,17.62,53.38,3.03,600.4,796.7,-24.64,22.9,367.4,0,1
Andhra Pradesh,Rice,Kharif,Laterite,2,34.02,124.91,3.672,769.9,841.6,-8.51,26.0,355.2,1,0
Andhra Pradesh,Maize,Zaid,Black,4,10.63,61.35,5.77,1000.7,950.0,5.34,21.4,127.9,1,0
Andhra Pradesh,Maize,Kharif,Black,4,31.11,48.72,1.566,763.3,816.6,-6.54,38.5,305.4,1,0
West Bengal,Rice,Kharif,Sandy,1,6.91,14.1,2.039,950.7,844.4,12.59,29.5,184.2,0,0
Karnataka,Soybean,Rabi,Alluvial,5,0.6,3.5,5.813,998.5,871.5,14.57,31.8,375.9,1,0
Madhya Pradesh,Bajra,Zaid,Red,3,46.61,269.72,5.787,751.9,792.7,-5.15,27.4,125.1,0,0
Madhya Pradesh,Jowar,Kharif,Black,4,27.97,52.74,1.886,771.8,1082.4,-28.69,34.4,99.4,1,1
Haryana,Groundnut,Rabi,Laterite,2,46.38,80.04,1.726,834.7,1126.4,-25.9,19.1,344.8,0,1
Andhra Pradesh,Pulses,Rabi,Alluvial,5,17.02,52.87,3.105,1085.6,804.6,34.93,22.7,300.9,1,0
West Bengal,Jowar,Rabi,Red,3,16.73,20.88,1.249,714.2,730.4,-2.22,21.1,337.5,0,1
Haryana,Soybean,Zaid,Red,3,20.33,86.91,4.275,1084.4,780.4,38.96,25.0,105.3,1,0
Maharashtra,Bajra,Zaid,Red,3,35.45,49.18,1.387,863.8,916.9,-5.79,35.5,359.7,1,0
Haryana,Maize,Rabi,Red,3,28.51,36.78,1.29,615.8,837.1,-26.43,39.2,287.2,1,1
Karnataka,Pulses,Zaid,Sandy,1,46.31,158.64,3.426,789.5,658.2,19.95,31.7,278.0,1,0
Tamil Nadu,Pulses,Zaid,Red,3,1.76,10.18,5.789,519.8,826.6,-37.11,25.4,253.9,1,1
Punjab,Bajra,Kharif,Alluvial,5,35.56,111.43,3.134,463.5,911.1,-49.13,32.7,317.7,0,1
Andhra Pradesh,Cotton,Rabi,Black,4,16.85,46.89,2.782,951.7,997.7,-4.61,34.9,195.5,0,0
Tamil Nadu,Groundnut,Rabi,Alluvial,5,9.42,56.43,5.99,999.4,1113.5,-10.25,33.1,96.5,1,0
Haryana,Bajra,Zaid,Laterite,2,25.76,94.29,3.66,791.7,782.8,1.14,25.2,238.7,1,0
West Bengal,Wheat,Rabi,Sandy,1,25.5,73.35,2.876,811.9,756.5,7.33,25.4,311.8,0,0
Punjab,Wheat,Rabi,Sandy,1,7.28,21.33,2.929,655.8,812.4,-19.28,22.1,103.8,0,0
Madhya Pradesh,Bajra,Rabi,Laterite,2,10.49,20.72,1.975,842.5,708.2,18.96,24.5,128.4,1,1
Uttar Pradesh,Maize,Zaid,Alluvial,5,20.7,73.73,3.561,1295.4,745.0,73.88,21.2,293.8,1,0
Punjab,Bajra,Zaid,Alluvial,5,20.74,66.24,3.194,1052.4,745.9,41.1,25.6,144.4,1,0
Karnataka,Sugarcane,Zaid,Laterite,2,16.22,38.18,2.354,781.0,899.0,-13.13,25.9,109.5,0,0
Karnataka,Soybean,Kharif,Red,3,7.85,14.16,1.803,759.2,725.1,4.71,20.8,361.3,1,0
Haryana,Wheat,Rabi,Red,3,0.72,1.83,2.556,705.9,973.7,-27.5,42.1,106.3,1,1
Maharashtra,Jowar,Kharif,Black,4,48.53,171.95,3.543,447.2,1022.4,-56.26,27.8,170.5,0,1
Karnataka,Bajra,Zaid,Alluvial,5,47.2,60.97,1.292,679.3,681.1,-0.27,33.8,200.0,1,0
Karnataka,Wheat,Kharif,Alluvial,5,24.44,43.23,1.769,968.6,654.3,48.04,33.2,216.6,1,0
West Bengal,Soybean,Rabi,Laterite,2,49.76,285.51,5.738,567.0,769.6,-26.33,37.7,176.5,1,1
Haryana,Soybean,Rabi,Laterite,2,33.85,125.71,3.714,730.0,789.8,-7.57,20.6,369.4,1,0
Punjab,Jowar,Zaid,Red,3,3.91,5.15,1.317,520.5,1039.9,-49.95,22.7,280.5,1,1
Maharashtra,Pulses,Zaid,Alluvial,5,6.33,28.25,4.465,996.4,842.4,18.27,15.1,175.8,0,0
Tamil Nadu,Sugarcane,Kharif,Alluvial,5,45.85,60.02,1.309,481.7,913.0,-47.24,16.3,175.2,0,1
Uttar Pradesh,Bajra,Zaid,Sandy,1,31.69,148.75,4.694,948.2,912.7,3.89,19.9,226.0,0,0
Andhra Pradesh,Rice,Kharif,Black,4,42.24,200.62,4.75,1057.2,717.9,47.25,25.1,61.8,1,0
Madhya Pradesh,Bajra,Rabi,Black,4,44.96,191.34,4.255,719.2,812.4,-11.48,25.4,374.3,0,0
Karnataka,Pulses,Rabi,Red,3,22.67,105.68,4.661,628.3,848.1,-25.92,45.0,128.2,1,1
Haryana,Groundnut,Rabi,Alluvial,5,2.9,4.18,1.44,918.8,906.6,1.34,29.0,294.2,1,0
Andhra Pradesh,Cotton,Rabi,Sandy,1,9.82,45.5,4.634,1200.6,634.9,89.11,31.8,322.2,1,0
Madhya Pradesh,Maize,Rabi,Alluvial,5,3.8,6.39,1.683,1135.4,760.8,49.24,26.9,339.6,1,0
Madhya Pradesh,Pulses,Kharif,Laterite,2,9.84,26.55,2.698,781.6,851.7,-8.24,18.1,108.0,0,0
Tamil Nadu,Soybean,Rabi,Red,3,20.82,118.97,5.714,579.2,784.1,-26.13,27.8,237.8,0,1
Tamil Nadu,Rice,Kharif,Black,4,6.35,22.32,3.514,742.0,639.7,15.99,16.3,79.3,1,0
Tamil Nadu,Maize,Rabi,Alluvial,5,8.75,51.09,5.837,377.5,741.6,-49.1,24.9,331.7,1,1
Rajasthan,Wheat,Kharif,Red,3,22.57,32.6,1.445,661.1,641.1,3.11,29.9,220.3,0,1
Rajasthan,Bajra,Kharif,Black,4,17.34,58.74,3.388,912.6,1057.1,-13.67,22.5,105.5,0,0
Madhya Pradesh,Maize,Kharif,Alluvial,5,23.65,31.03,1.312,708.1,802.1,-11.72,27.2,301.5,1,0
Tamil Nadu,Wheat,Zaid,Sandy,1,21.74,90.26,4.151,649.9,840.2,-22.65,22.4,165.9,1,1
West Bengal,Cotton,Kharif,Red,3,32.4,45.15,1.394,786.1,703.2,11.8,19.4,90.1,0,1
Karnataka,Wheat,Kharif,Alluvial,5,46.89,88.01,1.877,732.7,884.6,-17.18,28.9,211.4,1,0
Andhra Pradesh,Rice,Rabi,Black,4,5.84,13.4,2.294,988.9,954.3,3.63,32.3,132.3,1,0
Andhra Pradesh,Soybean,Kharif,Black,4,5.41,25.68,4.744,468.3,712.6,-34.28,32.3,382.6,1,1
Rajasthan,Pulses,Kharif,Sandy,1,42.71,77.73,1.82,931.6,715.9,30.12,24.6,176.5,0,1
Madhya Pradesh,Jowar,Zaid,Red,3,25.57,133.79,5.233,788.5,775.7,1.65,12.9,250.4,1,0
Haryana,Pulses,Rabi,Red,3,38.44,63.79,1.66,908.6,640.0,41.97,26.5,381.9,0,1
Punjab,Pulses,Zaid,Alluvial,5,11.16,13.13,1.176,452.7,907.0,-50.09,33.6,187.8,1,1
Punjab,Wheat,Zaid,Black,4,41.53,123.56,2.975,1020.8,963.8,5.9,18.1,175.3,0,0
Rajasthan,Bajra,Zaid,Black,4,46.23,272.63,5.897,935.8,635.1,47.34,36.7,106.8,0,0
Haryana,Maize,Kharif,Sandy,1,31.96,49.59,1.552,1218.3,982.1,24.04,13.6,378.4,0,1
Rajasthan,Jowar,Zaid,Sandy,1,5.74,8.66,1.509,591.8,982.3,-39.75,28.4,330.3,0,1
Punjab,Jowar,Zaid,Red,3,44.82,213.14,4.756,653.8,423.9,54.23,31.0,127.4,1,0
Haryana,Maize,Rabi,Black,4,39.73,101.74,2.561,354.0,684.4,-48.29,34.8,166.4,0,1
Tamil Nadu,Maize,Rabi,Alluvial,5,37.67,172.76,4.586,594.1,759.0,-21.73,28.8,370.2,1,1
Madhya Pradesh,Soybean,Rabi,Laterite,2,2.32,4.64,2.0,1158.6,935.3,23.88,24.0,238.0,1,0
Andhra Pradesh,Rice,Rabi,Alluvial,5,40.05,132.17,3.3,873.8,915.7,-4.58,27.0,244.7,1,0
West Bengal,Cotton,Zaid,Sandy,1,7.33,17.05,2.326,618.4,711.3,-13.05,21.9,276.9,1,0
Maharashtra,Rice,Rabi,Alluvial,5,11.51,37.49,3.258,833.3,1093.7,-23.81,14.1,316.8,1,1
Madhya Pradesh,Maize,Kharif,Black,4,29.07,140.85,4.845,784.6,745.0,5.32,24.5,378.7,1,0
Tamil Nadu,Bajra,Zaid,Red,3,13.62,65.5,4.81,322.7,724.7,-55.47,28.9,330.8,1,1
Punjab,Sugarcane,Rabi,Laterite,2,33.24,118.95,3.579,368.0,675.9,-45.56,32.2,377.1,1,1
Tamil Nadu,Sugarcane,Zaid,Red,3,30.6,172.64,5.642,1076.7,823.2,30.79,23.1,337.2,1,0
Rajasthan,Cotton,Rabi,Laterite,2,5.85,13.57,2.319,984.2,985.6,-0.15,34.9,66.3,1,0
Haryana,Maize,Zaid,Laterite,2,32.97,72.59,2.202,428.9,714.8,-40.0,25.0,91.1,1,1
Andhra Pradesh,Sugarcane,Rabi,Black,4,46.24,188.13,4.069,768.3,881.3,-12.82,28.9,359.7,0,0
Karnataka,Cotton,Kharif,Black,4,8.47,34.8,4.106,621.1,880.5,-29.46,30.5,59.7,0,1
Rajasthan,Jowar,Rabi,Sandy,1,30.05,37.05,1.233,1072.2,845.3,26.85,26.3,328.0,0,1
Madhya Pradesh,Cotton,Zaid,Sandy,1,17.42,70.37,4.039,911.9,898.3,1.51,25.5,347.4,0,0
Rajasthan,Jowar,Zaid,Laterite,2,23.25,66.78,2.872,523.8,985.9,-46.87,35.3,195.4,1,1
Madhya Pradesh,Soybean,Kharif,Sandy,1,14.71,69.67,4.737,830.1,890.9,-6.83,15.8,174.2,0,0
Karnataka,Sugarcane,Zaid,Black,4,18.03,90.88,5.041,789.7,1007.0,-21.58,26.3,118.0,1,1
Uttar Pradesh,Cotton,Kharif,Sandy,1,1.93,7.26,3.761,790.4,685.0,15.39,15.0,67.1,1,0
Andhra Pradesh,Cotton,Zaid,Laterite,2,49.09,49.51,1.009,672.5,783.7,-14.19,15.2,310.9,1,1
West Bengal,Cotton,Zaid,Red,3,31.43,131.42,4.182,806.2,685.2,17.66,25.7,75.8,0,0
West Bengal,Bajra,Kharif,Alluvial,5,25.28,119.96,4.744,587.3,932.2,-37.0,22.8,380.6,0,1
Maharashtra,Cotton,Zaid,Sandy,1,19.49,43.76,2.245,503.0,1033.3,-51.32,38.5,153.9,1,1
Tamil Nadu,Bajra,Zaid,Black,4,27.2,90.39,3.323,488.4,803.6,-39.22,24.5,328.0,1,1
Uttar Pradesh,Pulses,Kharif,Red,3,19.32,112.58,5.829,537.7,892.2,-39.73,32.8,70.9,1,1
West Bengal,Soybean,Rabi,Black,4,18.32,45.62,2.491,905.6,625.8,44.7,26.3,237.7,0,0
Rajasthan,Pulses,Kharif,Sandy,1,23.47,49.65,2.116,912.4,853.2,6.93,18.8,172.2,0,0
Tamil Nadu,Groundnut,Zaid,Laterite,2,14.16,29.09,2.054,1165.1,599.0,94.5,15.4,60.5,1,0
Uttar Pradesh,Pulses,Rabi,Alluvial,5,9.41,35.71,3.794,742.9,859.1,-13.53,17.8,279.5,0,0
Haryana,Maize,Rabi,Alluvial,5,28.05,161.27,5.749,975.4,561.5,73.71,28.0,380.1,0,0
Haryana,Jowar,Rabi,Red,3,42.22,170.7,4.043,811.8,1104.2,-26.48,35.6,53.8,0,1
Tamil Nadu,Maize,Kharif,Alluvial,5,8.06,20.3,2.517,874.9,842.4,3.86,20.5,144.7,1,0
Madhya Pradesh,Rice,Rabi,Laterite,2,2.12,8.89,4.193,1002.1,836.5,19.79,31.0,296.3,1,0
Madhya Pradesh,Pulses,Rabi,Black,4,12.72,52.45,4.124,945.5,1136.3,-16.79,24.9,354.9,1,0
Rajasthan,Sugarcane,Rabi,Laterite,2,49.0,195.23,3.985,827.1,859.9,-3.81,19.6,116.8,0,0
Uttar Pradesh,Wheat,Zaid,Red,3,41.52,74.62,1.797,646.6,608.6,6.25,28.1,74.8,1,0
Uttar Pradesh,Pulses,Kharif,Red,3,30.0,125.17,4.173,868.9,785.4,10.64,35.5,53.0,0,0
Tamil Nadu,Soybean,Kharif,Alluvial,5,46.5,146.51,3.151,1141.1,1141.8,-0.06,25.5,125.3,0,0
Punjab,Pulses,Zaid,Laterite,2,22.54,24.64,1.093,843.8,715.7,17.9,31.0,75.0,1,1
Haryana,Bajra,Rabi,Black,4,49.17,181.88,3.699,701.2,783.9,-10.56,27.9,175.8,1,0
Uttar Pradesh,Rice,Zaid,Laterite,2,15.17,90.19,5.946,1005.4,1082.0,-7.08,27.9,204.0,1,0
Tamil Nadu,Cotton,Zaid,Black,4,12.4,34.07,2.749,453.7,734.3,-38.21,21.2,218.0,1,1
Karnataka,Rice,Rabi,Black,4,32.08,186.98,5.828,710.0,835.7,-15.04,28.9,99.8,0,0
Maharashtra,Rice,Rabi,Laterite,2,19.22,28.46,1.481,554.8,1052.6,-47.29,17.2,212.4,0,1
Karnataka,Jowar,Kharif,Sandy,1,31.51,146.88,4.662,769.6,763.9,0.75,28.2,53.2,1,0
Andhra Pradesh,Wheat,Rabi,Laterite,2,15.6,24.51,1.572,1111.6,730.2,52.23,34.2,133.8,1,1
Rajasthan,Rice,Zaid,Black,4,31.09,73.61,2.368,960.2,573.5,67.42,36.8,179.2,1,0
Uttar Pradesh,Jowar,Zaid,Red,3,14.15,54.53,3.854,333.0,684.6,-51.35,19.7,91.4,1,1
Andhra Pradesh,Cotton,Rabi,Red,3,3.02,11.98,3.964,645.3,717.5,-10.06,28.7,334.9,1,0
West Bengal,Maize,Kharif,Alluvial,5,45.65,222.6,4.876,425.2,795.5,-46.55,21.8,120.4,0,1
Andhra Pradesh,Cotton,Zaid,Red,3,44.22,180.26,4.077,1064.6,903.6,17.82,26.8,314.2,0,0
Tamil Nadu,Sugarcane,Rabi,Sandy,1,48.55,192.67,3.968,654.4,843.3,-22.4,37.5,215.9,1,1
Uttar Pradesh,Rice,Kharif,Black,4,35.97,200.05,5.562,819.0,665.3,23.1,31.3,217.9,1,0
Maharashtra,Rice,Kharif,Laterite,2,34.29,111.83,3.261,831.0,1054.1,-21.16,22.1,275.8,1,1
Tamil Nadu,Maize,Zaid,Laterite,2,28.17,59.9,2.126,851.5,684.7,24.36,21.7,65.5,1,0
Tamil Nadu,Soybean,Zaid,Sandy,1,6.73,12.18,1.809,100.0,1120.5,-91.08,26.1,77.6,1,1
Rajasthan,Rice,Kharif,Red,3,9.87,29.6,3.0,890.3,872.7,2.02,26.5,164.4,1,0
Rajasthan,Wheat,Kharif,Black,4,14.83,67.67,4.564,662.9,1006.8,-34.16,26.8,195.9,1,1
Haryana,Groundnut,Kharif,Red,3,44.56,54.04,1.213,1011.5,929.5,8.82,17.1,200.5,1,0
Haryana,Rice,Rabi,Alluvial,5,9.06,14.91,1.645,850.7,1075.9,-20.93,38.0,286.9,0,1
Madhya Pradesh,Groundnut,Zaid,Red,3,46.18,70.68,1.531,957.9,843.5,13.57,38.6,50.2,1,0
Punjab,Cotton,Kharif,Alluvial,5,26.38,103.57,3.926,618.0,810.0,-23.71,28.9,385.7,1,1
Uttar Pradesh,Pulses,Zaid,Laterite,2,35.92,79.54,2.214,517.8,895.7,-42.19,20.8,111.1,1,1
Uttar Pradesh,Soybean,Zaid,Black,4,5.96,10.91,1.831,1022.6,808.7,26.45,22.2,137.0,1,0
Andhra Pradesh,Jowar,Zaid,Alluvial,5,13.82,54.77,3.964,940.9,918.0,2.49,20.3,367.0,0,0
Uttar Pradesh,Bajra,Kharif,Red,3,47.95,230.46,4.807,855.6,1082.5,-20.96,19.8,51.9,1,1
Uttar Pradesh,Soybean,Rabi,Red,3,13.67,36.38,2.661,855.2,596.4,43.39,22.2,397.0,1,0
Punjab,Bajra,Kharif,Laterite,2,15.18,59.06,3.891,905.2,838.6,7.94,28.5,62.6,0,0
West Bengal,Cotton,Zaid,Sandy,1,10.28,15.33,1.491,476.9,1180.1,-59.58,26.8,92.2,1,1
Haryana,Soybean,Kharif,Sandy,1,6.89,39.1,5.676,1068.9,791.5,35.05,35.1,134.0,1,0
Haryana,Jowar,Kharif,Red,3,12.05,32.34,2.684,761.5,1002.1,-24.01,16.9,203.6,1,1
Maharashtra,Bajra,Zaid,Sandy,1,32.3,193.37,5.988,768.6,980.6,-21.62,20.7,231.5,1,1
Uttar Pradesh,Maize,Zaid,Black,4,23.04,135.78,5.893,695.5,634.3,9.64,14.0,86.7,0,0
Punjab,Wheat,Kharif,Sandy,1,27.91,136.6,4.894,182.6,894.5,-79.59,26.9,75.8,1,1
Haryana,Soybean,Kharif,Black,4,6.56,7.21,1.1,943.8,883.0,6.89,35.6,61.2,1,0
Punjab,Cotton,Kharif,Red,3,40.2,149.46,3.717,550.4,1327.4,-58.53,23.2,139.9,1,1
Karnataka,Rice,Kharif,Red,3,39.31,56.38,1.434,827.0,456.1,81.32,34.2,372.5,1,0
West Bengal,Jowar,Rabi,Red,3,1.57,8.59,5.476,594.9,606.9,-1.97,30.2,186.4,1,0
Uttar Pradesh,Bajra,Kharif,Laterite,2,19.48,96.41,4.948,714.1,815.7,-12.45,31.2,317.4,0,0
Maharashtra,Bajra,Rabi,Sandy,1,3.9,22.88,5.862,700.2,796.4,-12.07,29.5,116.6,1,0
Andhra Pradesh,Wheat,Zaid,Alluvial,5,39.71,160.5,4.042,589.2,717.5,-17.88,36.8,72.6,1,0
Haryana,Bajra,Rabi,Alluvial,5,36.99,133.58,3.611,743.5,727.0,2.27,24.8,244.0,1,0
Karnataka,Groundnut,Zaid,Red,3,45.15,162.3,3.595,679.8,952.6,-28.64,30.1,337.7,0,1
Punjab,Sugarcane,Rabi,Sandy,1,12.2,35.78,2.932,539.9,724.0,-25.43,37.1,364.5,1,1
Rajasthan,Groundnut,Zaid,Black,4,23.09,77.19,3.343,1093.2,768.8,42.19,19.9,241.2,0,0
Tamil Nadu,Bajra,Kharif,Alluvial,5,9.63,40.23,4.177,599.6,999.6,-40.01,24.7,152.9,1,1
Uttar Pradesh,Jowar,Rabi,Red,3,18.88,106.93,5.665,940.5,976.5,-3.68,29.4,88.3,1,0
Uttar Pradesh,Soybean,Rabi,Alluvial,5,26.35,104.86,3.979,967.1,778.4,24.24,20.8,283.7,0,0
Karnataka,Cotton,Zaid,Alluvial,5,3.14,16.6,5.286,1031.0,630.2,63.61,20.6,148.2,1,0
Punjab,Rice,Zaid,Alluvial,5,35.89,190.7,5.314,663.6,981.9,-32.41,38.2,345.4,1,1
Madhya Pradesh,Soybean,Rabi,Red,3,27.39,98.45,3.594,750.3,709.0,5.82,21.1,261.8,1,0
Uttar Pradesh,Maize,Zaid,Red,3,41.53,113.69,2.737,758.0,1043.8,-27.38,23.8,350.6,1,1
Madhya Pradesh,Soybean,Kharif,Laterite,2,13.95,58.57,4.198,931.8,912.9,2.07,27.3,248.3,1,0
Rajasthan,Soybean,Rabi,Laterite,2,45.21,146.01,3.229,739.4,821.0,-9.94,28.6,320.1,0,0
Karnataka,Cotton,Kharif,Laterite,2,49.94,70.27,1.407,914.6,915.8,-0.13,22.7,153.0,0,1
Punjab,Wheat,Rabi,Alluvial,5,46.01,132.91,2.889,736.1,557.2,32.1,24.8,226.1,1,0
Punjab,Bajra,Kharif,Sandy,1,39.01,232.88,5.97,1079.3,1072.0,0.68,20.0,56.8,1,0
West Bengal,Wheat,Rabi,Red,3,40.71,50.59,1.243,797.1,818.6,-2.63,22.7,262.7,0,1
Tamil Nadu,Maize,Zaid,Laterite,2,28.9,129.57,4.483,767.0,875.0,-12.35,30.2,236.8,0,0
Haryana,Pulses,Rabi,Sandy,1,9.91,51.6,5.206,884.9,763.5,15.89,31.4,314.3,1,0
Haryana,Rice,Kharif,Laterite,2,34.01,144.34,4.244,1208.9,824.4,46.64,32.1,305.1,1,0
Andhra Pradesh,Groundnut,Rabi,Laterite,2,35.78,137.71,3.849,648.7,1089.7,-40.47,26.0,269.7,0,1
Maharashtra,Rice,Kharif,Sandy,1,49.28,223.61,4.538,1059.9,809.5,30.93,24.8,69.8,1,0
Karnataka,Bajra,Kharif,Laterite,2,27.29,85.89,3.147,595.6,787.4,-24.35,18.2,366.1,0,1
Rajasthan,Rice,Kharif,Alluvial,5,13.93,20.3,1.457,811.0,952.5,-14.86,23.9,56.3,0,1
Punjab,Sugarcane,Zaid,Alluvial,5,34.34,199.59,5.812,601.3,896.6,-32.93,27.0,331.1,0,1
Tamil Nadu,Groundnut,Rabi,Alluvial,5,48.98,154.85,3.162,707.2,1083.1,-34.71,32.5,217.8,1,1
Madhya Pradesh,Maize,Kharif,Black,4,9.27,40.12,4.327,630.4,547.6,15.12,14.4,336.3,1,0
Karnataka,Bajra,Zaid,Laterite,2,16.64,60.83,3.657,974.6,780.9,24.8,24.0,212.8,0,0
Andhra Pradesh,Jowar,Kharif,Black,4,27.32,34.79,1.273,675.7,636.3,6.19,12.4,276.4,0,1
Karnataka,Maize,Rabi,Red,3,8.93,51.44,5.764,932.6,1034.7,-9.87,16.4,177.1,1,0
Andhra Pradesh,Sugarcane,Zaid,Sandy,1,1.6,7.94,4.963,668.3,656.2,1.85,33.9,310.3,1,0
Punjab,Groundnut,Kharif,Red,3,17.18,29.99,1.745,798.6,899.5,-11.21,18.2,139.0,1,0
Maharashtra,Cotton,Kharif,Black,4,43.34,256.04,5.908,1164.4,654.0,78.05,26.6,301.8,1,0
Andhra Pradesh,Sugarcane,Kharif,Alluvial,5,2.65,12.42,4.685,613.6,775.1,-20.83,32.2,117.7,0,1
Punjab,Maize,Rabi,Laterite,2,21.73,73.05,3.362,618.4,700.7,-11.75,23.2,302.8,1,0
Punjab,Bajra,Zaid,Laterite,2,38.23,155.09,4.057,738.4,849.0,-13.02,18.7,152.8,0,0
Maharashtra,Pulses,Zaid,Alluvial,5,47.68,73.13,1.534,795.6,1154.2,-31.07,26.7,147.5,1,1
Haryana,Bajra,Zaid,Laterite,2,49.28,187.37,3.802,955.2,636.2,50.15,35.4,334.0,0,0
Karnataka,Groundnut,Kharif,Sandy,1,21.39,29.26,1.368,810.7,679.4,19.34,32.0,334.8,0,1
Uttar Pradesh,Pulses,Zaid,Sandy,1,47.54,177.07,3.724,861.3,939.5,-8.33,24.5,292.0,1,0
Uttar Pradesh,Wheat,Kharif,Sandy,1,2.25,8.48,3.763,511.4,827.1,-38.17,22.7,373.4,0,1
Madhya Pradesh,Groundnut,Rabi,Red,3,37.42,201.04,5.372,875.4,659.1,32.81,32.9,104.7,0,0
Madhya Pradesh,Groundnut,Zaid,Alluvial,5,32.32,149.47,4.625,882.1,779.3,13.18,17.2,144.3,1,0
Uttar Pradesh,Sugarcane,Kharif,Sandy,1,12.85,28.89,2.248,967.9,623.0,55.37,31.6,152.9,1,0
Rajasthan,Bajra,Zaid,Black,4,25.61,139.39,5.442,717.9,776.5,-7.54,22.8,156.9,1,0
Uttar Pradesh,Maize,Zaid,Sandy,1,6.91,26.73,3.866,798.3,704.2,13.36,17.1,164.8,1,0
Madhya Pradesh,Cotton,Rabi,Red,3,43.64,175.97,4.032,976.6,896.6,8.92,15.4,294.0,1,0
Tamil Nadu,Rice,Zaid,Black,4,18.22,33.61,1.845,535.3,946.5,-43.44,35.8,144.8,1,1
Madhya Pradesh,Soybean,Rabi,Alluvial,5,31.49,166.54,5.289,351.3,451.9,-22.27,24.8,150.1,0,1
Rajasthan,Cotton,Zaid,Alluvial,5,8.36,47.27,5.655,522.8,866.1,-39.64,20.6,249.6,0,1
Karnataka,Rice,Zaid,Sandy,1,10.71,52.19,4.875,640.2,504.5,26.89,25.7,117.7,1,0
Uttar Pradesh,Wheat,Zaid,Black,4,49.6,282.92,5.704,1068.1,850.9,25.52,22.6,177.7,0,0
Maharashtra,Maize,Zaid,Black,4,37.78,94.88,2.511,1307.3,1088.7,20.08,22.8,70.3,0,0
Tamil Nadu,Bajra,Zaid,Sandy,1,48.12,255.29,5.306,572.6,797.7,-28.22,23.0,383.4,1,1
Punjab,Jowar,Zaid,Sandy,1,15.14,52.17,3.444,779.0,888.4,-12.32,26.0,161.1,1,0
Rajasthan,Groundnut,Rabi,Laterite,2,8.65,15.73,1.82,668.3,960.6,-30.43,30.5,347.5,0,1
Madhya Pradesh,Cotton,Rabi,Laterite,2,25.4,110.35,4.344,920.3,966.0,-4.73,16.8,235.5,1,0
Maharashtra,Rice,Kharif,Sandy,1,24.99,110.45,4.421,870.0,975.2,-10.79,34.1,129.9,0,0
Andhra Pradesh,Jowar,Zaid,Red,3,9.16,22.3,2.435,580.9,915.3,-36.54,20.3,117.7,1,1
Haryana,Cotton,Rabi,Laterite,2,36.79,41.85,1.137,644.7,736.9,-12.52,27.5,293.2,0,1
Uttar Pradesh,Maize,Zaid,Sandy,1,18.41,36.8,1.999,764.2,946.7,-19.27,25.7,387.7,0,1
Haryana,Bajra,Zaid,Black,4,9.73,29.16,2.999,1107.6,1073.5,3.17,21.2,114.1,0,0
Rajasthan,Pulses,Rabi,Laterite,2,16.93,31.12,1.838,636.6,922.7,-31.02,32.8,90.4,1,1
Andhra Pradesh,Cotton,Zaid,Red,3,28.4,55.95,1.97,412.2,878.5,-53.08,21.2,185.5,0,1
Andhra Pradesh,Cotton,Rabi,Alluvial,5,36.46,107.81,2.957,1125.8,598.8,88.01,34.5,187.8,1,0
Andhra Pradesh,Bajra,Rabi,Black,4,24.35,141.47,5.809,924.3,690.5,33.86,30.0,332.2,0,0
Punjab,Wheat,Kharif,Red,3,26.52,127.84,4.821,509.3,742.2,-31.38,21.5,214.1,0,1
Rajasthan,Sugarcane,Kharif,Red,3,7.38,19.17,2.599,876.6,685.2,27.93,18.8,71.9,1,0
Karnataka,Cotton,Kharif,Red,3,45.78,263.59,5.758,1002.9,825.3,21.51,32.4,372.2,1,0
Haryana,Bajra,Kharif,Black,4,46.47,196.49,4.228,823.4,710.7,15.86,19.2,180.6,1,0
Karnataka,Sugarcane,Zaid,Red,3,34.33,112.51,3.277,1140.6,979.9,16.4,25.2,284.0,1,0
Maharashtra,Bajra,Zaid,Alluvial,5,1.37,4.59,3.342,938.8,790.2,18.81,30.2,283.6,0,0
West Bengal,Bajra,Kharif,Laterite,2,27.09,82.71,3.054,876.4,682.6,28.38,28.8,69.7,0,0
Tamil Nadu,Wheat,Rabi,Black,4,31.65,68.51,2.165,851.0,711.6,19.59,24.8,51.3,1,0
Tamil Nadu,Bajra,Rabi,Red,3,49.74,145.88,2.933,834.0,860.3,-3.06,21.6,80.8,1,0
Karnataka,Maize,Rabi,Sandy,1,49.81,181.27,3.639,1019.5,807.7,26.23,30.3,384.8,1,0
